Frequency [Hz];|V(in)| [V];V(in) [dB];Phase(in) [deg];|V(node_c)| [V];V(node_c) [dB];Phase(node_c) [deg];|V(node_l)| [V];V(node_l) [dB];Phase(node_l) [deg];|V(out)| [V];V(out) [dB];Phase(out) [deg]
100.0000;1.000000;0.00;0.00;0.998425;-0.01;-3.60;0.998030;-0.02;-3.60;0.998415;-0.01;-3.60
119.3777;1.000000;0.00;0.00;0.997757;-0.02;-4.29;0.997196;-0.02;-4.29;0.997747;-0.02;-4.29
142.5103;1.000000;0.00;0.00;0.996808;-0.03;-5.12;0.996009;-0.03;-5.12;0.996798;-0.03;-5.12
170.1254;1.000000;0.00;0.00;0.995460;-0.04;-6.11;0.994323;-0.05;-6.11;0.995450;-0.04;-6.11
203.0918;1.000000;0.00;0.00;0.993548;-0.06;-7.28;0.991930;-0.07;-7.28;0.993538;-0.06;-7.28
242.4462;1.000000;0.00;0.00;0.990842;-0.08;-8.68;0.988543;-0.10;-8.68;0.990833;-0.08;-8.68
289.4266;1.000000;0.00;0.00;0.987023;-0.11;-10.34;0.983759;-0.14;-10.34;0.987014;-0.11;-10.34
345.5107;1.000000;0.00;0.00;0.981655;-0.16;-12.30;0.977029;-0.20;-12.30;0.981645;-0.16;-12.30
412.4626;1.000000;0.00;0.00;0.974150;-0.23;-14.62;0.967608;-0.29;-14.62;0.974141;-0.23;-14.62
492.3883;1.000000;0.00;0.00;0.963741;-0.32;-17.35;0.954516;-0.40;-17.35;0.963731;-0.32;-17.35
587.8016;1.000000;0.00;0.00;0.949454;-0.45;-20.53;0.936503;-0.57;-20.53;0.949445;-0.45;-20.53
701.7038;1.000000;0.00;0.00;0.930127;-0.63;-24.21;0.912046;-0.80;-24.21;0.930118;-0.63;-24.21
837.6776;1.000000;0.00;0.00;0.904474;-0.87;-28.43;0.879418;-1.12;-28.43;0.904465;-0.87;-28.43
1000.0000;1.000000;0.00;0.00;0.871251;-1.20;-33.19;0.836856;-1.55;-33.19;0.871243;-1.20;-33.19
1193.7766;1.000000;0.00;0.00;0.829525;-1.62;-38.48;0.782855;-2.13;-38.48;0.829517;-1.62;-38.48
1425.1027;1.000000;0.00;0.00;0.779007;-2.17;-44.23;0.716548;-2.90;-44.23;0.778999;-2.17;-44.23
1701.2543;1.000000;0.00;0.00;0.720349;-2.85;-50.35;0.638041;-3.90;-50.35;0.720342;-2.85;-50.35
2030.9176;1.000000;0.00;0.00;0.655236;-3.67;-56.73;0.548542;-5.22;-56.73;0.655230;-3.67;-56.73
2424.4620;1.000000;0.00;0.00;0.586181;-4.64;-63.25;0.450155;-6.93;-63.25;0.586176;-4.64;-63.25
2894.2661;1.000000;0.00;0.00;0.516055;-5.75;-69.79;0.345395;-9.23;-69.79;0.516050;-5.75;-69.79
3455.1073;1.000000;0.00;0.00;0.447555;-6.98;-76.31;0.236629;-12.52;-76.31;0.447550;-6.98;-76.31
4124.6264;1.000000;0.00;0.00;0.382804;-8.34;-82.78;0.125702;-18.01;-82.78;0.382801;-8.34;-82.78
4923.8826;1.000000;0.00;0.00;0.323200;-9.81;-89.21;0.013853;-37.17;-89.21;0.323196;-9.81;-89.21
5878.0161;1.000000;0.00;-0.00;0.269457;-11.39;-95.63;0.098088;-20.17;84.37;0.269455;-11.39;-95.63
7017.0383;1.000000;0.00;-0.00;0.221787;-13.08;-102.08;0.209338;-13.58;77.92;0.221785;-13.08;-102.08
8376.7764;1.000000;0.00;-0.00;0.180083;-14.89;-108.59;0.318785;-9.93;71.41;0.180081;-14.89;-108.59
10000.0000;1.000000;0.00;-0.00;0.144085;-16.83;-115.13;0.424741;-7.44;64.87;0.144084;-16.83;-115.13
11937.7664;1.000000;0.00;-0.00;0.113474;-18.90;-121.66;0.524941;-5.60;58.34;0.113473;-18.90;-121.66
14251.0267;1.000000;0.00;-0.00;0.087900;-21.12;-128.09;0.616860;-4.20;51.91;0.087899;-21.12;-128.09
17012.5428;1.000000;0.00;-0.00;0.066970;-23.48;-134.29;0.698239;-3.12;45.71;0.066970;-23.48;-134.29
20309.1762;1.000000;0.00;-0.00;0.050226;-25.98;-140.14;0.767616;-2.30;39.86;0.050225;-25.98;-140.14
24244.6202;1.000000;0.00;-0.00;0.037136;-28.60;-145.55;0.824612;-1.68;34.45;0.037135;-28.60;-145.55
28942.6612;1.000000;0.00;-0.00;0.027124;-31.33;-150.44;0.869881;-1.21;29.56;0.027124;-31.33;-150.44
34551.0729;1.000000;0.00;-0.00;0.019615;-34.15;-154.80;0.904807;-0.87;25.20;0.019615;-34.15;-154.80
41246.2638;1.000000;0.00;-0.00;0.014073;-37.03;-158.61;0.931119;-0.62;21.39;0.014073;-37.03;-158.61
49238.8263;1.000000;0.00;-0.00;0.010036;-39.97;-161.91;0.950574;-0.44;18.09;0.010036;-39.97;-161.91
58780.1607;1.000000;0.00;-0.00;0.007125;-42.94;-164.74;0.964755;-0.31;15.26;0.007125;-42.94;-164.74
70170.3829;1.000000;0.00;-0.00;0.005042;-45.95;-167.16;0.974983;-0.22;12.84;0.005042;-45.95;-167.16
83767.7640;1.000000;0.00;-0.00;0.003559;-48.97;-169.20;0.982301;-0.16;10.80;0.003559;-48.97;-169.20
100000.0000;1.000000;0.00;-0.00;0.002508;-52.01;-170.93;0.987508;-0.11;9.07;0.002508;-52.01;-170.93
